,name,post at,tweets,tweets_clean,sentiment
11,azkadotid,2022-03-03,Ketua MPR: Jangan Rusak Hutan Dalam Membangun Ibu Kota Negara Baru https://t.co/eBBDfACelq,ketua mpr jangan rusak hutan membangun ibu kota negara baru,netral
12,KATADATAcoid,2022-03-03,"Menko Marves Luhut Binsar Pandjaitan menjajaki peluang investasi Arab Saudi untuk sejumlah proyek di Indonesia, termasuk pembangunan Ibu Kota Negara (IKN) baru.

 https://t.co/2qjda42Rsn",menko marves luhut binsar pandjaitan menjajaki peluang investasi arab saudi sejumlah proyek indonesia termasuk pembangunan ibu kota negara ibu kota negara baru,positif
13,rumah123,2022-03-03,Mau tau seperti apa pembangunan di ibu kota negara baru? Smart forest city jadi pilihannya. Seperti apa ya? https://t.co/Y9f5hE0dOF #123Info #Rumah123 #Rumah123Info,mau tau apa pembangunan ibu kota negara baru smart forest city jadi pilihannya apa info rumah rumah info,positif
14,GitaAmanyyy,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/diK5mLm7NC",kepala bin bicara intelligent city ibu kota negara baru,netral
15,MahmudinAhmad5,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/IrIX03mQYd",kepala bin bicara intelligent city ibu kota negara baru,netral
16,GrizelleJovank4,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/Qm6F1NL1NK
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
17,MaulaSani1,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/Vd5D6eTiRW",kepala bin bicara intelligent city ibu kota negara baru,netral
18,ZonaWajibSenyum,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/fmcFWw2juX
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
19,VianieRiska,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/X2Wa9FbNI8
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
20,Amir221udin,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/5lpXM5AQCj",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
21,AlmirRisa,2022-03-03,"@catatankaqihati Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/s1LuilaVn2",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
22,Codett1111,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/sDiWQcKNdK
..
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
23,NttInfo,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru. Prokes Jangan Kendor 
https://t.co/Da1SeG1uH1",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
24,AcengGoceng19,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/QB1HmkUFYE",kepala bin bicara intelligent city ibu kota negara baru,netral
25,sakti_gundala,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/PJ3cwq0hSx",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
26,DaraSagita99,2022-03-03,IBU KOTA NEGARA di Kalimantan Timur nantinya akan merepresentasikan Indonesia sehingga akan dibangun dengan konsep smart and green city dgn memanfaatkan energi baru dan terbarukan. https://t.co/LRzkq76FsF,ibu kota negara kalimantan timur nantinya merepresentasikan indonesia dibangun konsep smart and green city dgn memanfaatkan energi baru terbarukan,netral
27,WulanRestu2,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor 
https://t.co/BFZu6QNDcG",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
28,MandaraResi,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor 
https://t.co/H7pJGwVAwn",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
29,RidhoIl54292846,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/E5Vg1oSjHf",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
30,KozukoVm,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/JflTKCv63w",kepala bin bicara intelligent city ibu kota negara baru,netral
31,BaubauC,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/m1Uyv4r7qt https://t.co/GGfk7wB5uL",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
32,Rikayanti25,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/N3KlFA95gm
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
33,MilleniaPretty,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/sOygCKxeJ1",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
34,WilonaAnastasy2,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/KoHHLxFNVQ",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
35,AsiyahFebri,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/EGEBd6b035",kepala bin bicara intelligent city ibu kota negara baru,netral
36,MinC900,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/BIxtHsqWZ8",kepala bin bicara intelligent city ibu kota negara baru,netral
37,SafinaYulianti3,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/3vLmWPgCWQ

Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
38,HSanggula,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru. Prokes Jangan Kendor
https://t.co/hjqnSDRLhM",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
39,Gladis_069,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/rWuXjcwb5U",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
40,arifudinnn48,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru. Prokes Jangan Kendor
https://t.co/tx0ykaIzTT",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
41,imeldasanjaya1,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru. Prokes Jangan Kendor
https://t.co/HTFHKTbluo",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
42,farraz_frey,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/FMncBGPQTo",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
43,EntinKa54934158,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/IOgevxFz9L",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
44,utakalera,2022-03-03,"https://t.co/w7dl65u1iy

Prokes Jangan Kendor",prokes jangan kendor,negatif
45,BotakPahlawan,2022-03-03,"Kalimantan Timur dinilai menjadi lokasi tepat untuk menjadi IBU KOTA NEGARA baru karena minimnya potensi bencana alam yg terjadi di sana
#iknbarunusantara #IKN https://t.co/biij4X7vsm",kalimantan timur dinilai menjadi lokasi tepat menjadi ibu kota negara baru minimnya potensi bencana alam terjadi sana iknbarunusantara ibu kota negara,netral
46,InfoPapua6,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru. Prokes Jangan Kendor
https://t.co/gt7E3ZmNiv",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
47,NkriBuzzer,2022-03-03,"6⃣0⃣⏬▶️Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/cIza7Gdy5e https://t.co/uTYPVezQov",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
48,RakyatJambi4,2022-03-03,"4⃣9⃣⏬▶️Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/1QH7OaqMhq https://t.co/65wmTYC2To",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
49,JonBaratheon1,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/I1fhBSxq0I
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
50,NonaKartika4,2022-03-03,"Intelligent City di Ibu Kota Negara Baru, Prokes Jangan Kendor https://t.co/wdJ802U9FX",intelligent city ibu kota negara baru prokes jangan kendor,negatif
51,P7Ang_JMB,2022-03-03,"3⃣8⃣⏬▶️Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/3AwM7IkvhT https://t.co/1F9xneVs4X",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
52,randi_marten,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/75imqX7CSm",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
53,P7Ang_TBO,2022-03-03,"2⃣7⃣⏬▶️Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/lh50ZPK3xz https://t.co/kGhU8IpyCV",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
54,ArzanulA,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/fwhdAYhwkt",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
55,P7Ang_BTH,2022-03-03,"1⃣6⃣⏬▶️Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/t6uLGur5vd https://t.co/wiuIN2l1FE",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
56,P7Ang_3,2022-03-03,"5⃣⏬▶️Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/Se74BVMdl1 https://t.co/HAM8CRk8w3",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
57,ArifaNidya,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru, Prokes Jangan Kendor https://t.co/OOUsWVp61k",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
58,koa_waje,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/HAYYMuBHOP
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
59,AdrianSanjaya16,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/qM7CQnazaI",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
60,rangset01,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/1adOHwsSlg",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
61,RenataSumiati,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/iOuXRJ9RPD",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
62,JumadiLuki,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/3zkGF8lnVS",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
63,IndahPe40836519,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/lTAOI1eBGt",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
64,aguspras0912,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/4mPjBsGZ3A",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
65,RiyanFernanda4,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/Aw0VOiAr5L",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
66,LodinKonto,2022-03-03,"Prokes Jangan Kendor | Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/P75wWStYTK",prokes jangan kendor kepala bin bicara intelligent city ibu kota negara baru,negatif
67,DandiHandoko,2022-03-03,Pembangunan Ibu Kota Negara yang baru merupakan bagian dari transformasi ekonomi yang akan bermanfaat bagi Indonesia. Prokes Jangan Kendor https://t.co/PVQFwkbRUe,pembangunan ibu kota negara baru merupakan bagian transformasi ekonomi bermanfaat indonesia prokes jangan kendor,positif
68,DandiHandoko,2022-03-03,Pembangunan Ibu Kota Negara yang baru merupakan bagian dari transformasi ekonomi yang akan bermanfaat bagi Indonesia. Prokes Jangan Kendor https://t.co/G7h5io6UJo,pembangunan ibu kota negara baru merupakan bagian transformasi ekonomi bermanfaat indonesia prokes jangan kendor,positif
69,DandiHandoko,2022-03-03,Pembangunan Ibu Kota Negara yang baru merupakan bagian dari transformasi ekonomi yang akan bermanfaat bagi Indonesia. Prokes Jangan Kendor https://t.co/4WDfR2l2mW,pembangunan ibu kota negara baru merupakan bagian transformasi ekonomi bermanfaat indonesia prokes jangan kendor,positif
70,DandiHandoko,2022-03-03,Pembangunan Ibu Kota Negara yang baru merupakan bagian dari transformasi ekonomi yang akan bermanfaat bagi Indonesia. Prokes Jangan Kendor https://t.co/dNoNDXvcAz,pembangunan ibu kota negara baru merupakan bagian transformasi ekonomi bermanfaat indonesia prokes jangan kendor,positif
71,IndonesiaKita20,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/uNhT68jdJu",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
72,arifset098,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/1d6NrOGm5E",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
73,IndonesiaKita20,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/7vlBFFXkhf",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
74,IndonesiaKita20,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/43mW4TkxVB",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
75,IndonesiaKita20,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/M14ZPzmGjR",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
76,IndonesiaKita20,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/fypgFmlpGY",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
77,dikaand40384851,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru. Prokes Jangan Kendor
https://t.co/3MGPPB3Uqh",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
78,fajrin82682427,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru. Prokes Jangan Kendor
https://t.co/A264w4KEKc",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
79,EnjoRaih,2022-03-03,Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru.Prokes Jangan Kendor  https://t.co/R2aaBl9twr,kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
80,AraAraKmchi,2022-03-03,Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru.Prokes Jangan Kendor  https://t.co/R9qA52qnWN,kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
81,AndreRaharjo7,2022-03-03,Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru.Prokes Jangan Kendor  https://t.co/JIJ1WnazZH,kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
82,MiceSaka,2022-03-03,Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru.Prokes Jangan Kendor  https://t.co/5uUeBiXgRw,kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
83,Haryant47740058,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru. Prokes Jangan Kendor
https://t.co/7VWHT5w0WN",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
84,TusaFaigter01,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/2oiRqALmna",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
85,mimebittie794,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/27KjF9d75t",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
86,mimebittie794,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/OWIHVHZU0t",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
87,mimebittie794,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/I9He8RLMgu",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
88,mimebittie794,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/B1EsWvEO64",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
89,mimebittie794,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/pGOsCkaaiW",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
90,eko53182607,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/4wOZBfI2CL",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
91,eko53182607,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/wnPtp8Mflz",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
92,eko53182607,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/V0zUIZNiaK",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
93,eko53182607,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/3FbiwThvpN",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
94,eko53182607,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/pbfYuUVtln",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
95,adiakbar25,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/gutlXD9hcX",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
96,Indones30157609,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/HghB2S32m2",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
97,Indones30157609,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/f3GX0nHkpl",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
98,Indones30157609,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/YYWKvnI0H6",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
99,Indones30157609,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/srnvGXo53D",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
100,Indones30157609,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/Mh3QL3TjVv",dukung pemindahan ibu kota negara baru prokes jangan kendor,netral
101,putribudianto,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/RrNTodiv34",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
102,JuiceMelon69,2022-03-03,"Prokes Jangan Kendor Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/AO4peH0gAf https://t.co/1ZwWla7Rn6",prokes jangan kendor kepala bin bicara intelligent city ibu kota negara baru,negatif
103,CacingPerkasa,2022-03-03,"Prokes Jangan Kendor Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/FX7rP8AcDd https://t.co/ouWN3nmcIz",prokes jangan kendor kepala bin bicara intelligent city ibu kota negara baru,negatif
104,BebekLamis,2022-03-03,"rokes Jangan Kendor Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/uESaUBEZyu https://t.co/U1sHdCmfqB",rokes jangan kendor kepala bin bicara intelligent city ibu kota negara baru,negatif
105,RNeryo,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/KgXUaPSDg8",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
106,Achmads85843424,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/FPZ2TEoyg5",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
107,Cantika38589943,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/mrBrofIBE2",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
108,alfitra_nanda,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/tFUEIEQ13m",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
109,CikaPut_RI,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/pIJUkTJXyZ",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
110,SuryaRa56517558,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/tnVFdfiife",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
